,물품대분류,상품명,물품판매량,제품단가,UPC,Code,ItemNumber,상위상품명
0,FC,(1+1) 좋은느낌 입는 오버나이트 대형 8개입,15,0,FC-0,FC,0,좋은느낌 입는 오버나이트 대형
1,FC,(1+1) 좋은느낌 입는 오버나이트 중형 8개입,10,0,FC-1,FC,1,좋은느낌 입는 오버나이트 중형
2,FC,(1+1) 화이트 입는 오버나이트 대형 L 8개입 (EA),27,0,FC-4,FC,4,화이트 입는 오버나이트 대형
3,FC,(1+1) 화이트 입는 오버나이트 중형 M 8개입 (EA),12,0,FC-5,FC,5,화이트 입는 오버나이트 중형
4,FC,(핫딜위크/1+1) 좋은느낌 입는 오버나이트 대형 8개입,4,0,FC-21,FC,21,좋은느낌 입는 오버나이트 대형
5,FC,(핫딜위크/1+1) 좋은느낌 입는 오버나이트 중형 8개입,5,0,FC-22,FC,22,좋은느낌 입는 오버나이트 중형
6,FC,[1+1] 좋은느낌 라인프렌즈 유기농 순면 팬티라이너 롱 36 개입,24,15000,FC-241,FC,241,좋은느낌 라인프렌즈 유기농 순면 팬티라이너 롱
7,FC,[1+1] 좋은느낌 팬티라이너 유기농 순면 롱 36개입,97,18660,FC-242,FC,242,은느낌 팬티라이너 유기농 순면 롱
8,FC,[대량발주] 택배파손_1224,1,35500,FC-338,FC,338,[대량발주] 택배파손_1224
9,FC,[동일상품 1+1] 화이트 입는 오버나이트 대형 L 8개입,26,24800,FC-370,FC,370,화이트 입는 오버나이트 대형
10,FC,[동일상품 1+1] 화이트 입는 오버나이트 중형 M 8개입,15,24800,FC-371,FC,371,화이트 입는 오버나이트 중형
11,FC,[멤버십 가입선물] 라네이처 시그니처 팬티라이너 롱 28개입,1,7100,FC-725,FC,725,라네이처 시그니처 팬티라이너 롱
12,FC,[벚꽃에디션] 좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트 8개입,6,9167,FC-740,FC,740,좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트
13,FC,[벚꽃에디션] 좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트 8개입 (EA),15,7920,FC-741,FC,741,좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트
14,FC,[벚꽃에디션] 좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트 8개입 X4,3,22000,FC-742,FC,742,좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트
15,FC,[벚꽃에디션] 좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형 14개입,4,15250,FC-743,FC,743,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형
16,FC,[벚꽃에디션] 좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형 14개입 (EA),27,6913,FC-744,FC,744,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형
17,FC,[벚꽃에디션] 좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형 14개입 X4,12,6100,FC-745,FC,745,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형
18,FC,[벚꽃에디션] 좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입,3,10600,FC-746,FC,746,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형
19,FC,[벚꽃에디션] 좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입 (EA),23,6844,FC-747,FC,747,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형
20,FC,[벚꽃에디션] 좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입 X4,7,21200,FC-748,FC,748,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형
21,FC,[벚꽃에디션] 좋은느낌 팬티라이너 유기농 순면 롱 36개입,5,8000,FC-749,FC,749,은느낌 팬티라이너 유기농 순면 롱
22,FC,[벚꽃에디션] 좋은느낌 팬티라이너 유기농 순면 롱 36개입 (EA),27,5000,FC-750,FC,750,은느낌 팬티라이너 유기농 순면 롱
23,FC,[벚꽃에디션] 좋은느낌 팬티라이너 유기농 순면 롱 36개입 X3,7,15000,FC-751,FC,751,은느낌 팬티라이너 유기농 순면 롱
24,FC,[시리얼1종랜덤증정+무료배송] 좋은느낌 유기농 순면 뉴 수퍼롱 오버나이트 8매X3팩,18,18333,FC-925,FC,925,좋은느낌 유기농 순면 뉴 수퍼롱 오버나이트
25,FC,[시리얼1종랜덤증정+무료배송] 좋은느낌 유기농 순면 뉴 오버나이트 10매X3팩,14,17036,FC-926,FC,926,좋은느낌 유기농 순면 뉴 오버나이트
26,FC,[시리얼1종랜덤증정+무료배송] 좋은느낌 유기농 순면 뉴 울트라 날개 대형 16매X3팩,16,22275,FC-927,FC,927,좋은느낌 유기농 순면 뉴 울트라 날개 대형
27,FC,[시리얼1종랜덤증정+무료배송] 좋은느낌 유기농 입는 오버나이트 중형 8매X2팩,2,42600,FC-928,FC,928,좋은느낌 유기농 입는 오버나이트 중형
28,FC,[시리얼1종랜덤증정+무료배송] 좋은느낌 유기농순면 뉴 울트라 날개 중형 18매X2팩 + 날개 대형 16매X1팩,13,21323,FC-929,FC,929,좋은느낌 유기농순면 뉴 울트라 날개 중형
29,FC,[시리얼1종랜덤증정+무료배송] 좋은느낌 유기농순면 뉴 울트라 날개 중형 18매X3팩,34,21547,FC-930,FC,930,좋은느낌 유기농순면 뉴 울트라 날개 중형
30,FC,[중형8p증정+무료배송] 좋은느낌 유기농 순면 뉴 수퍼롱 오버나이트 8매X3팩,23,17217,FC-1453,FC,1453,좋은느낌 유기농 순면 뉴 수퍼롱 오버나이트
31,FC,[중형8p증정+무료배송] 좋은느낌 유기농 순면 뉴 오버나이트 10매X3팩,25,16536,FC-1454,FC,1454,좋은느낌 유기농 순면 뉴 오버나이트
32,FC,[중형8p증정+무료배송] 좋은느낌 유기농 순면 뉴 울트라 날개 대형 16매X3팩,19,22926,FC-1455,FC,1455,좋은느낌 유기농 순면 뉴 울트라 날개 대형
33,FC,[중형8p증정+무료배송] 좋은느낌 유기농순면 뉴 울트라 날개 중형 18매X2팩 + 날개 대형 16매X1팩,27,20533,FC-1456,FC,1456,좋은느낌 유기농순면 뉴 울트라 날개 중형
34,FC,[중형8p증정+무료배송] 좋은느낌 유기농순면 뉴 울트라 날개 중형 18매X3팩,39,21831,FC-1457,FC,1457,좋은느낌 유기농순면 뉴 울트라 날개 중형
35,FC,[할로윈에디션] 좋은느낌 라인프렌즈 유기농순면 뉴 수퍼롱오버 8개입 X 3팩 + 뉴 울트라 날개 중형 8매,33,18000,FC-1644,FC,1644,좋은느낌 라인프렌즈 유기농순면 뉴 수퍼롱오버 8개입 X 3팩 + 뉴 울트라 날개 중형 8매
36,FC,[할로윈에디션] 좋은느낌 라인프렌즈 유기농순면 데일리 라이너 롱 36개입 X 3팩 + 뉴 울트라 날개 중형 8매,62,15532,FC-1645,FC,1645,좋은느낌 라인프렌즈 유기농순면 데일리 라이너 롱 36개입 X 3팩 + 뉴 울트라 날개 중형 8매
37,FC,디펜드 맘스 안심 팬티 8개입,28,13964,FC-2176,FC,2176,디펜드 맘스 안심 팬티
38,FC,디펜드 맘스 안심패드 30개입,98,7944,FC-2178,FC,2178,디펜드 맘스 안심패드
39,FC,디펜드 스타일 언더웨어 남성용 슬림 대형 16개입 X 3,2,48240,FC-2181,FC,2181,디펜드 스타일 언더웨어 남성용 슬림 대형
40,FC,디펜드 스타일 언더웨어 남성용 슬림 대형 54매 (실속 점보팩),3,59940,FC-2182,FC,2182,디펜드 스타일 언더웨어 남성용 슬림 대형
41,FC,디펜드 스타일 언더웨어 남성용 슬림 중형 18개입 X 3,2,73980,FC-2183,FC,2183,디펜드 스타일 언더웨어 남성용 슬림 중형
42,FC,디펜드 스타일 언더웨어 남성용 슬림 중형 60매 (실속 점보팩),7,60600,FC-2184,FC,2184,디펜드 스타일 언더웨어 남성용 슬림 중형
43,FC,디펜드 스타일 언더웨어 여성용 슬림 대형 16개입 X 3,3,61240,FC-2185,FC,2185,디펜드 스타일 언더웨어 여성용 슬림 대형
44,FC,디펜드 스타일 언더웨어 여성용 슬림 대형 54매 (실속 점보팩),2,57240,FC-2186,FC,2186,디펜드 스타일 언더웨어 여성용 슬림 대형
45,FC,디펜드 스타일 언더웨어 여성용 슬림 중형 18개입 X 3,2,46980,FC-2187,FC,2187,디펜드 스타일 언더웨어 여성용 슬림 중형
46,FC,디펜드 스타일 언더웨어 여성용 슬림 중형 60매 (실속 점보팩),23,57600,FC-2188,FC,2188,디펜드 스타일 언더웨어 여성용 슬림 중형
47,FC,디펜드 안심플러스 언더웨어 중형 18개입 X 3,3,68880,FC-2190,FC,2190,디펜드 안심플러스 언더웨어 중형
48,FC,디펜드 안심플러스 언더웨어 중형 54매,9,57240,FC-2191,FC,2191,디펜드 안심플러스 언더웨어 중형
49,FC,라네이처 데일리라이너 롱 28개입,55,8253,FC-2192,FC,2192,라네이처 데일리라이너 롱
50,FC,라네이처 데일리라이너 롱 28개입 X 3,6,15300,FC-2193,FC,2193,라네이처 데일리라이너 롱
51,FC,라네이처 세트,9,35000,FC-2194,FC,2194,라네이처 세트
52,FC,라네이처 시그니처 맥시슬림 날개 대형 10개입,5,14220,FC-2195,FC,2195,라네이처 시그니처 맥시슬림 날개 대형
53,FC,라네이처 시그니처 맥시슬림 날개 대형 10개입 (EA),15,8953,FC-2196,FC,2196,라네이처 시그니처 맥시슬림 날개 대형
54,FC,라네이처 시그니처 맥시슬림 날개 대형 10개입 (EA) X 3,26,0,FC-2197,FC,2197,라네이처 시그니처 맥시슬림 날개 대형
55,FC,라네이처 시그니처 맥시슬림 날개 중형 12개입,12,15142,FC-2198,FC,2198,라네이처 시그니처 맥시슬림 날개 중형
56,FC,라네이처 시그니처 맥시슬림 날개 중형 12개입 (EA),13,10938,FC-2199,FC,2199,라네이처 시그니처 맥시슬림 날개 중형
57,FC,라네이처 시그니처 맥시슬림 날개 중형 12개입 (EA) X 3,26,0,FC-2200,FC,2200,라네이처 시그니처 맥시슬림 날개 중형
58,FC,라네이처 시그니처 맥시슬림 수퍼롱 오버나이트 6개입,9,8778,FC-2201,FC,2201,라네이처 시그니처 맥시슬림 수퍼롱 오버나이트
59,FC,라네이처 시그니처 맥시슬림 수퍼롱 오버나이트 6개입 (EA),12,9217,FC-2202,FC,2202,라네이처 시그니처 맥시슬림 수퍼롱 오버나이트
60,FC,라네이처 시그니처 맥시슬림 수퍼롱 오버나이트 6개입 (EA) X 3,24,0,FC-2203,FC,2203,라네이처 시그니처 맥시슬림 수퍼롱 오버나이트
61,FC,라네이처 시그니처 세트,4,38700,FC-2204,FC,2204,라네이처 시그니처 세트
62,FC,라네이처 시그니처 울트라 날개 오버나이트 8개입,4,12425,FC-2205,FC,2205,라네이처 시그니처 울트라 날개 오버나이트
63,FC,라네이처 시그니처 울트라 날개 오버나이트 8개입 (EA),5,9940,FC-2206,FC,2206,라네이처 시그니처 울트라 날개 오버나이트
64,FC,라네이처 시그니처 울트라 날개 오버나이트 8개입 (EA) X 3,22,0,FC-2207,FC,2207,라네이처 시그니처 울트라 날개 오버나이트
65,FC,라네이처 시그니처 울트라슬림 날개 대형 10개입 (EA),4,8875,FC-2208,FC,2208,라네이처 시그니처 울트라슬림 날개 대형
66,FC,라네이처 시그니처 울트라슬림 날개 소형 14개입 (EA),11,9682,FC-2209,FC,2209,라네이처 시그니처 울트라슬림 날개 소형
67,FC,라네이처 시그니처 울트라슬림 날개 중형 12개입 (EA),6,14200,FC-2210,FC,2210,라네이처 시그니처 울트라슬림 날개 중형
68,FC,라네이처 시그니처 팬티라이너 롱 28개입,2,10650,FC-2211,FC,2211,라네이처 시그니처 팬티라이너 롱
69,FC,라네이처 시그니처 팬티라이너 롱 28개입 (EA),8,8875,FC-2212,FC,2212,라네이처 시그니처 팬티라이너 롱
70,FC,라네이처 시그니처 팬티라이너 롱 28개입 (EA) X 3,12,0,FC-2213,FC,2213,라네이처 시그니처 팬티라이너 롱
71,FC,라네이처 울트라 날개 대형 10개입,78,8827,FC-2214,FC,2214,라네이처 울트라 날개 대형
72,FC,라네이처 울트라 날개 대형 10개입 X 3,6,17850,FC-2215,FC,2215,라네이처 울트라 날개 대형
73,FC,라네이처 울트라 날개 소형 14개입,75,8580,FC-2216,FC,2216,라네이처 울트라 날개 소형
74,FC,라네이처 울트라 날개 오버나이트 14개입,28,12214,FC-2217,FC,2217,라네이처 울트라 날개 오버나이트
75,FC,라네이처 울트라 날개 오버나이트 14개입 X 2,3,25333,FC-2218,FC,2218,라네이처 울트라 날개 오버나이트
76,FC,라네이처 울트라 날개 중형 12개입,107,8675,FC-2219,FC,2219,라네이처 울트라 날개 중형
77,FC,라네이처 울트라 날개 중형 12개입 (EA),10,6120,FC-2220,FC,2220,라네이처 울트라 날개 중형
78,FC,라네이처 울트라 날개 중형 12개입 X 2 + 울트라 날개 오버나이트 14개입,4,19700,FC-2221,FC,2221,라네이처 울트라 날개 중형
79,FC,라네이처 울트라 날개 중형 12개입 X 3,4,15300,FC-2222,FC,2222,라네이처 울트라 날개 중형
80,FC,라네이처 페미닌 워시 젤 240ml,29,17000,FC-2223,FC,2223,라네이처 페미닌 워시 젤 240ml
81,FC,라네이처 페미닌 워시 젤 240ml (EA),4,16000,FC-2224,FC,2224,라네이처 페미닌 워시 젤 240ml
82,FC,라네이처 페미닌 워시 폼 200ml,33,19061,FC-2225,FC,2225,라네이처 페미닌 워시 폼 200ml
83,FC,라네이처 페미닌 워시 폼 200ml (EA),8,19800,FC-2226,FC,2226,라네이처 페미닌 워시 폼 200ml
84,FC,라네이처 페미닌 티슈 6매 X 5개입,12,11667,FC-2227,FC,2227,라네이처 페미닌 티슈
85,FC,라네이처 페미닌 티슈 6매 X 5개입 (EA),1,6600,FC-2228,FC,2228,라네이처 페미닌 티슈
86,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트 8개입,100,9680,FC-2306,FC,2306,좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트
87,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트 8개입 (EA),3,4950,FC-2307,FC,2307,좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트
88,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트 8개입 X 3팩,14,20036,FC-2308,FC,2308,좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트
89,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트 8개입 X 3팩 + 20주년 한정판 파우치,27,16500,FC-2309,FC,2309,좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트
90,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형 14개입,97,9559,FC-2310,FC,2310,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형
91,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형 14개입 (EA),1,10980,FC-2311,FC,2311,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형
92,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형 14개입 X 3팩,16,22875,FC-2312,FC,2312,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형
93,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형 14개입 X 3팩 + 20주년 한정판 파우치,19,18300,FC-2313,FC,2313,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형
94,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형 14개입 X 3팩 + 뉴 울트라 날개 중형 8매,38,18300,FC-2314,FC,2314,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 대형
95,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입,104,9530,FC-2315,FC,2315,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형
96,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입 (EA),18,5035,FC-2316,FC,2316,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형
97,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입 X 2팩 + 뉴 슬림 날개 대형 14개입 + 20주년 한정판 파우치,28,16700,FC-2317,FC,2317,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형
98,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입 X 2팩 + 뉴 슬림 날개 대형 14개입 + 뉴 울트라 날개 중형 8매,26,16700,FC-2318,FC,2318,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형
99,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입 X 3팩,15,15900,FC-2319,FC,2319,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형
100,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입 X 3팩 + 20주년 한정판 파우치,53,15900,FC-2320,FC,2320,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형
101,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형 14개입 X 3팩 + 뉴 울트라 날개 중형 8매,57,15900,FC-2321,FC,2321,좋은느낌 라인프렌즈 유기농 순면 뉴 슬림 날개 중형
102,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 오버나이트 10개입,78,7406,FC-2322,FC,2322,좋은느낌 라인프렌즈 유기농 순면 뉴 오버나이트
103,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 오버나이트 10개입 (EA),8,5366,FC-2323,FC,2323,좋은느낌 라인프렌즈 유기농 순면 뉴 오버나이트
104,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 오버나이트 10개입 X 3팩,16,14906,FC-2324,FC,2324,좋은느낌 라인프렌즈 유기농 순면 뉴 오버나이트
105,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 오버나이트 10개입 X 3팩 + 20주년 한정판 파우치,25,15900,FC-2325,FC,2325,좋은느낌 라인프렌즈 유기농 순면 뉴 오버나이트
106,FC,좋은느낌 라인프렌즈 유기농 순면 뉴 오버나이트 10개입 X 3팩 + 뉴 울트라 날개 중형 8매,39,15900,FC-2326,FC,2326,좋은느낌 라인프렌즈 유기농 순면 뉴 오버나이트
107,FC,좋은느낌 라인프렌즈 유기농 순면 입는 오버나이트 중형 4개입,25,11760,FC-2327,FC,2327,좋은느낌 라인프렌즈 유기농 순면 입는 오버나이트 중형
108,FC,좋은느낌 라인프렌즈 유기농 순면 입는 오버나이트 중형 4개입 X 2팩,4,21000,FC-2328,FC,2328,좋은느낌 라인프렌즈 유기농 순면 입는 오버나이트 중형
109,FC,좋은느낌 라인프렌즈 유기농 순면 입는 오버나이트 중형 4개입 X 2팩 + 20주년 한정판 파우치,8,16800,FC-2329,FC,2329,좋은느낌 라인프렌즈 유기농 순면 입는 오버나이트 중형
110,FC,좋은느낌 라인프렌즈 유기농 순면 입는 오버나이트 중형 4개입 X 2팩 + 뉴 울트라 날개 중형 8매,12,16800,FC-2330,FC,2330,좋은느낌 라인프렌즈 유기농 순면 입는 오버나이트 중형
111,FC,좋은느낌 라인프렌즈 유기농 순면 팬티라이너 롱 36 개입,91,9835,FC-2331,FC,2331,좋은느낌 라인프렌즈 유기농 순면 팬티라이너 롱
112,FC,좋은느낌 라인프렌즈 유기농 순면 팬티라이너 롱 36 개입 X 3팩,15,16000,FC-2332,FC,2332,좋은느낌 라인프렌즈 유기농 순면 팬티라이너 롱
113,FC,좋은느낌 라인프렌즈 유기농 순면 팬티라이너 롱 36 개입 X 3팩 + 20주년 한정판 파우치,3,15000,FC-2333,FC,2333,좋은느낌 라인프렌즈 유기농 순면 팬티라이너 롱
114,FC,좋은느낌 매직쿠션 울트라 날개 대형 17개입,42,10255,FC-2334,FC,2334,좋은느낌 매직쿠션 울트라 날개 대형
115,FC,좋은느낌 매직쿠션 울트라 날개 중형 19개입,81,10907,FC-2335,FC,2335,좋은느낌 매직쿠션 울트라 날개 중형
116,FC,좋은느낌 솜솜 대형 날개형 12개입,313,3623,FC-2336,FC,2336,좋은느낌 솜솜 대형 날개형
117,FC,좋은느낌 솜솜 대형 날개형 12개입 (EA),19,4697,FC-2337,FC,2337,좋은느낌 솜솜 대형 날개형
118,FC,좋은느낌 솜솜 소중형 날개형 14개입,34,4529,FC-2338,FC,2338,좋은느낌 솜솜 소중형 날개형
119,FC,좋은느낌 솜솜 수퍼롱 오버나이트 8개입,336,5201,FC-2339,FC,2339,좋은느낌 솜솜 수퍼롱 오버나이트
120,FC,좋은느낌 솜솜 수퍼롱 오버나이트 8개입 (EA),34,4926,FC-2340,FC,2340,좋은느낌 솜솜 수퍼롱 오버나이트
121,FC,좋은느낌 솜솜 중형 날개형 14개입,353,4283,FC-2341,FC,2341,좋은느낌 솜솜 중형 날개형
122,FC,좋은느낌 솜솜 중형 날개형 14개입 (EA),47,3947,FC-2342,FC,2342,좋은느낌 솜솜 중형 날개형
123,FC,좋은느낌 솜솜 특대형 날개형 12개입,37,4541,FC-2343,FC,2343,좋은느낌 솜솜 특대형 날개형
124,FC,좋은느낌 순수 울트라 날개 대형 16개입,246,5359,FC-2344,FC,2344,좋은느낌 순수 울트라 날개 대형
125,FC,좋은느낌 순수 울트라 날개 대형 16개입 (EA),38,4379,FC-2345,FC,2345,좋은느낌 순수 울트라 날개 대형
126,FC,좋은느낌 순수 울트라 날개 중형 18개입,390,5693,FC-2346,FC,2346,좋은느낌 순수 울트라 날개 중형
127,FC,좋은느낌 순수 울트라 날개 중형 18개입 (EA),34,4512,FC-2347,FC,2347,좋은느낌 순수 울트라 날개 중형
128,FC,좋은느낌 순수 팬티라이너 롱 18개입,571,3074,FC-2348,FC,2348,좋은느낌 순수 팬티라이너 롱
129,FC,좋은느낌 순수 팬티라이너 롱 18개입 (EA),26,3400,FC-2349,FC,2349,좋은느낌 순수 팬티라이너 롱
130,FC,좋은느낌 에어핏쿠션 슬림 날개 수퍼롱 오버나이트 20개입,38,17234,FC-2350,FC,2350,좋은느낌 에어핏쿠션 슬림 날개 수퍼롱 오버나이트
131,FC,좋은느낌 에어핏쿠션 슬림 날개 수퍼롱 오버나이트 20개입 (EA),15,11107,FC-2351,FC,2351,좋은느낌 에어핏쿠션 슬림 날개 수퍼롱 오버나이트
132,FC,좋은느낌 에어핏쿠션 울트라 날개 대형 17개입,127,8999,FC-2352,FC,2352,좋은느낌 에어핏쿠션 울트라 날개 대형
133,FC,좋은느낌 에어핏쿠션 울트라 날개 대형 17개입 (EA),6,6195,FC-2353,FC,2353,좋은느낌 에어핏쿠션 울트라 날개 대형
134,FC,좋은느낌 에어핏쿠션 울트라 날개 대형 17개입 X 3,12,22750,FC-2354,FC,2354,좋은느낌 에어핏쿠션 울트라 날개 대형
135,FC,좋은느낌 에어핏쿠션 울트라 날개 중형 18개입X2 + 슬림 날개 수퍼롱 오버나이트 10개입,58,17797,FC-2355,FC,2355,좋은느낌 에어핏쿠션 울트라 날개 중형
136,FC,좋은느낌 에어핏쿠션 울트라 날개 중형 18개입X2 + 슬림 날개 수퍼롱 오버나이트 10개입 (EA),4,14080,FC-2356,FC,2356,좋은느낌 에어핏쿠션 울트라 날개 중형
137,FC,좋은느낌 에어핏쿠션 울트라 날개 중형 19개입,279,9973,FC-2357,FC,2357,좋은느낌 에어핏쿠션 울트라 날개 중형
138,FC,좋은느낌 에어핏쿠션 울트라 날개 중형 19개입 (EA),7,8061,FC-2358,FC,2358,좋은느낌 에어핏쿠션 울트라 날개 중형
139,FC,좋은느낌 에어핏쿠션 울트라 날개 중형 19개입 X 3,32,28641,FC-2359,FC,2359,좋은느낌 에어핏쿠션 울트라 날개 중형
140,FC,좋은느낌 유기농 순면 뉴 수퍼롱 오버나이트 8개입,426,9512,FC-2360,FC,2360,좋은느낌 유기농 순면 뉴 수퍼롱 오버나이트
141,FC,좋은느낌 유기농 순면 뉴 수퍼롱 오버나이트 8개입 X3,27,20167,FC-2362,FC,2362,좋은느낌 유기농 순면 뉴 수퍼롱 오버나이트
142,FC,좋은느낌 유기농 순면 뉴 수퍼롱 오버나이트 8개입 X 3,15,24700,FC-2361,FC,2361,좋은느낌 유기농 순면 뉴 수퍼롱 오버나이트
143,FC,좋은느낌 유기농 순면 뉴 슬림 날개 중형 3개입(지퍼백),219,2944,FC-2365,FC,2365,좋은느낌 유기농 순면 뉴 슬림 날개 중형
144,FC,좋은느낌 유기농 순면 뉴 슬림 날개 중형 3개입(지퍼팩) x 12,2,12960,FC-2366,FC,2366,좋은느낌 유기농 순면 뉴 슬림 날개 중형
145,FC,좋은느낌 유기농 순면 뉴 슬림 날개 중형 36개입,269,17024,FC-2363,FC,2363,좋은느낌 유기농 순면 뉴 슬림 날개 중형
146,FC,좋은느낌 유기농 순면 뉴 슬림 날개 중형 36개입 (EA),2,11640,FC-2364,FC,2364,좋은느낌 유기농 순면 뉴 슬림 날개 중형
147,FC,좋은느낌 유기농 순면 뉴 오버나이트 10개입,329,8665,FC-2367,FC,2367,좋은느낌 유기농 순면 뉴 오버나이트
148,FC,좋은느낌 유기농 순면 뉴 오버나이트 10개입 (EA),8,7751,FC-2368,FC,2368,좋은느낌 유기농 순면 뉴 오버나이트
149,FC,좋은느낌 유기농 순면 뉴 오버나이트 10개입 X3,31,17439,FC-2370,FC,2370,좋은느낌 유기농 순면 뉴 오버나이트
150,FC,좋은느낌 유기농 순면 뉴 오버나이트 10개입 X 3,7,22286,FC-2369,FC,2369,좋은느낌 유기농 순면 뉴 오버나이트
151,FC,좋은느낌 유기농 순면 뉴 울트라 날개 대형 16개입,305,12508,FC-2371,FC,2371,좋은느낌 유기농 순면 뉴 울트라 날개 대형
152,FC,좋은느낌 유기농 순면 뉴 울트라 날개 대형 16개입 (EA),8,8910,FC-2372,FC,2372,좋은느낌 유기농 순면 뉴 울트라 날개 대형
153,FC,좋은느낌 유기농 순면 뉴 울트라 날개 대형 16개입 X3,34,25041,FC-2373,FC,2373,좋은느낌 유기농 순면 뉴 울트라 날개 대형
154,FC,좋은느낌 유기농 순면 뉴 울트라 날개 대형 16매X3팩,13,19800,FC-2374,FC,2374,좋은느낌 유기농 순면 뉴 울트라 날개 대형
155,FC,좋은느낌 유기농 순면 뉴 울트라 날개 중형 18개입,407,11984,FC-2375,FC,2375,좋은느낌 유기농 순면 뉴 울트라 날개 중형
156,FC,좋은느낌 유기농 순면 뉴 울트라 날개 중형 18개입 (EA),29,8603,FC-2376,FC,2376,좋은느낌 유기농 순면 뉴 울트라 날개 중형
157,FC,좋은느낌 유기농 순면 뉴 울트라 날개 중형 18개입 X3,57,22579,FC-2377,FC,2377,좋은느낌 유기농 순면 뉴 울트라 날개 중형
158,FC,좋은느낌 유기농 입는 오버나이트 대형 8개입,92,20220,FC-2378,FC,2378,좋은느낌 유기농 입는 오버나이트 대형
159,FC,좋은느낌 유기농 입는 오버나이트 대형 8개입 (EA),3,12780,FC-2379,FC,2379,좋은느낌 유기농 입는 오버나이트 대형
160,FC,좋은느낌 유기농 입는 오버나이트 대형 8개입 X 2,2,42600,FC-2380,FC,2380,좋은느낌 유기농 입는 오버나이트 대형
161,FC,좋은느낌 유기농 입는 오버나이트 중형 8개입 (EA),6,12780,FC-2381,FC,2381,좋은느낌 유기농 입는 오버나이트 중형
162,FC,좋은느낌 유기농 입는 오버나이트 중형 8개입 X 2,1,28400,FC-2382,FC,2382,좋은느낌 유기농 입는 오버나이트 중형
