,물품대분류,상품명,물품판매량,제품단가,UPC,Code,ItemNumber,상위상품명
2892,팬티,하기스 네이처메이드 밤부 4단계 남아 120매(밴드형),28,66125,LINER-2673,LINER,2673,하기스 네이처메이드 밤부 4단계 남아
2893,팬티,하기스 네이처메이드 밤부 4단계 남아 120매(밴드형) X2,1,0,LINER-2674,LINER,2674,하기스 네이처메이드 밤부 4단계 남아
2894,팬티,하기스 네이처메이드 밤부 4단계 여아 120매(밴드형),30,59953,LINER-2675,LINER,2675,하기스 네이처메이드 밤부 4단계 여아
2895,팬티,하기스 네이처메이드 밤부 4단계 여아 120매(밴드형) X2,1,0,LINER-2677,LINER,2677,하기스 네이처메이드 밤부 4단계 여아
2896,팬티,하기스 네이처메이드 밤부 4단계 여아 120매(밴드형) X 3,1,0,LINER-2676,LINER,2676,하기스 네이처메이드 밤부 4단계 여아
2897,팬티,하기스 네이처메이드 밤부 5단계 남아 102매(밴드형),12,61717,LINER-2678,LINER,2678,하기스 네이처메이드 밤부 5단계 남아
2898,팬티,하기스 네이처메이드 밤부 5단계 남아 102매(밴드형) X2,1,0,LINER-2679,LINER,2679,하기스 네이처메이드 밤부 5단계 남아
2899,팬티,하기스 네이처메이드 밤부 5단계 여아 102매(밴드형),13,52900,LINER-2680,LINER,2680,하기스 네이처메이드 밤부 5단계 여아
2900,팬티,하기스 네이처메이드 썸머팬티 5단계 공용 68매(팬티형) X 3,6,0,LINER-2684,LINER,2684,하기스 네이처메이드 썸머팬티 5단계 공용
2901,팬티,하기스 네이처메이드 썸머팬티 6단계 공용 58매(팬티형) X 3,1,0,LINER-2685,LINER,2685,하기스 네이처메이드 썸머팬티 6단계 공용
2902,팬티,하기스 네이처메이드 오가닉 1단계 공용 180매(밴드형),2,76800,LINER-2687,LINER,2687,하기스 네이처메이드 오가닉 1단계 공용
2903,팬티,하기스 네이처메이드 오가닉 2단계 남아 150매(밴드형),4,76800,LINER-2691,LINER,2691,하기스 네이처메이드 오가닉 2단계 남아
2904,팬티,하기스 네이처메이드 오가닉 2단계 여아 150매(밴드형),7,76800,LINER-2695,LINER,2695,하기스 네이처메이드 오가닉 2단계 여아
2905,팬티,하기스 네이처메이드 오가닉 3단계 남아 128매(밴드형),5,77900,LINER-2699,LINER,2699,하기스 네이처메이드 오가닉 3단계 남아
2906,팬티,하기스 네이처메이드 오가닉 3단계 남아 128매(밴드형) X2,1,0,LINER-2700,LINER,2700,하기스 네이처메이드 오가닉 3단계 남아
2907,팬티,하기스 네이처메이드 오가닉 3단계 여아 128매(밴드형),12,77900,LINER-2703,LINER,2703,하기스 네이처메이드 오가닉 3단계 여아
2908,팬티,하기스 네이처메이드 오가닉 4단계 남아 104매(밴드형),7,89029,LINER-2707,LINER,2707,하기스 네이처메이드 오가닉 4단계 남아
2909,팬티,하기스 네이처메이드 오가닉 4단계 여아 104매(밴드형),13,77900,LINER-2709,LINER,2709,하기스 네이처메이드 오가닉 4단계 여아
2910,팬티,하기스 네이처메이드 팬티 3단계 남아 116매(팬티형),474,63817,LINER-2713,LINER,2713,하기스 네이처메이드 팬티 3단계 남아
2911,팬티,하기스 네이처메이드 팬티 3단계 남아 116매(팬티형) X2,16,107840,LINER-2714,LINER,2714,하기스 네이처메이드 팬티 3단계 남아
2912,팬티,하기스 네이처메이드 팬티 3단계 남아 116매(팬티형) X3,1,161760,LINER-2715,LINER,2715,하기스 네이처메이드 팬티 3단계 남아
2913,팬티,하기스 네이처메이드 팬티 3단계 남아 120매(팬티형),6,47483,LINER-2716,LINER,2716,하기스 네이처메이드 팬티 3단계 남아
2914,팬티,하기스 네이처메이드 팬티 3단계 여아 116매(팬티형),797,62106,LINER-2718,LINER,2718,하기스 네이처메이드 팬티 3단계 여아
2915,팬티,하기스 네이처메이드 팬티 3단계 여아 116매(팬티형) X2,20,107840,LINER-2719,LINER,2719,하기스 네이처메이드 팬티 3단계 여아
2916,팬티,하기스 네이처메이드 팬티 3단계 여아 116매(팬티형) X3,11,161760,LINER-2720,LINER,2720,하기스 네이처메이드 팬티 3단계 여아
2917,팬티,하기스 네이처메이드 팬티 4단계 남아 96매(팬티형),850,64260,LINER-2724,LINER,2724,하기스 네이처메이드 팬티 4단계 남아
2918,팬티,하기스 네이처메이드 팬티 4단계 남아 96매(팬티형) X2,36,107840,LINER-2725,LINER,2725,하기스 네이처메이드 팬티 4단계 남아
